txn_id,batch_date,account_id,client_ref,fund_code,txn_type,units,trade_ts
T501610,2026-08-24,ACC-1036,CR-353521-J,FND-108,BUY,48.7519,2026-08-24T19:02:41Z
T501617,2026-08-24,ACC-1015,CR-668840-D,FND-103,BUY,232.9689,2026-08-24T14:22:07Z
T501618,2026-08-24,ACC-1037,CR-894798-D,FND-105,BUY,57.0652,2026-08-24T21:46:36Z
T501623,2026-08-24,ACC-1035,CR-848470-F,FND-101,BUY,182.0605,2026-08-24T19:22:33Z
T501624,2026-08-24,ACC-1037,CR-894798-D,FND-105,BUY,271.9250,2026-08-24T21:01:03Z
T501628,2026-08-24,ACC-1030,CR-910870-D,FND-102,BUY,62.7028,2026-08-24T20:05:59Z
T501632,2026-08-24,ACC-1039,CR-218347-C,FND-104,BUY,183.9437,2026-08-24T14:35:20Z
T501634,2026-08-24,ACC-1037,CR-894798-D,FND-108,BUY,81.9086,2026-08-24T21:02:38Z
T501641,2026-08-24,ACC-1022,CR-996587-K,FND-108,SELL,30.7177,2026-08-24T16:17:40Z
T501645,2026-08-24,ACC-1025,CR-248506-E,FND-109,SELL,50.6706,2026-08-24T20:17:57Z
T501652,2026-08-24,ACC-1012,CR-131183-C,FND-106,SELL,1.5439,2026-08-24T16:17:30Z
T501654,2026-08-24,ACC-1010,CR-943043-B,FND-106,BUY,123.1304,2026-08-24T20:56:28Z
T501658,2026-08-24,ACC-1024,CR-227554-G,FND-109,BUY,142.1425,2026-08-24T15:55:29Z
T501663,2026-08-24,ACC-1027,CR-866359-C,FND-104,BUY,10.9365,2026-08-24T14:26:49Z
T501668,2026-08-24,ACC-1005,CR-964011-B,FND-107,BUY,88.1428,2026-08-24T13:23:42Z
T501674,2026-08-24,ACC-1015,CR-668840-D,FND-109,SELL,32.8875,2026-08-24T14:52:30Z
T501677,2026-08-24,ACC-1038,CR-762956-G,FND-103,BUY,134.0822,2026-08-24T21:35:51Z
T501684,2026-08-24,ACC-1011,CR-136745-E,FND-108,BUY,219.6907,2026-08-24T20:12:05Z
T501690,2026-08-24,ACC-1026,CR-566361-F,FND-103,SELL,25.0123,2026-08-24T17:51:38Z
T501692,2026-08-24,ACC-1008,CR-897247-G,FND-105,SELL,176.1937,2026-08-24T15:51:16Z
T501698,2026-08-24,ACC-1016,CR-994125-A,FND-106,BUY,193.3508,2026-08-24T14:15:26Z
T501705,2026-08-24,ACC-1038,CR-762956-G,FND-106,SELL,21.2202,2026-08-24T16:58:56Z
T501712,2026-08-24,ACC-1028,CR-130212-A,FND-101,BUY,215.4646,2026-08-24T20:23:16Z
T501719,2026-08-24,ACC-1023,CR-606871-D,FND-105,BUY,66.1995,2026-08-24T13:36:13Z
T501723,2026-08-24,ACC-1022,CR-996587-K,FND-103,BUY,59.3059,2026-08-24T16:58:17Z
T501729,2026-08-24,ACC-1038,CR-762956-G,FND-103,BUY,241.9031,2026-08-24T20:27:43Z
T501730,2026-08-24,ACC-1015,CR-668840-D,FND-106,BUY,230.3641,2026-08-24T18:44:06Z
