txn_id,batch_date,account_id,client_ref,fund_code,txn_type,units,trade_ts
T500559,2026-08-10,ACC-1033,CR-884054-A,FND-102,BUY,65.0002,2026-08-10T15:35:50Z
T500566,2026-08-10,ACC-1023,CR-606871-D,FND-101,BUY,13.3723,2026-08-10T17:12:32Z
T500573,2026-08-10,ACC-1011,CR-136745-E,FND-106,BUY,252.3893,2026-08-10T21:21:28Z
T500578,2026-08-10,ACC-1040,CR-593506-B,FND-107,BUY,105.4100,2026-08-10T21:26:20Z
T500582,2026-08-10,ACC-1002,CR-818622-G,FND-102,SELL,214.0664,2026-08-10T18:00:50Z
T500585,2026-08-10,ACC-1036,CR-353521-J,FND-104,SELL,263.4406,2026-08-10T21:49:07Z
T500589,2026-08-10,ACC-1036,CR-353521-J,FND-108,BUY,69.1578,2026-08-10T19:10:07Z
T500595,2026-08-10,ACC-1022,CR-996587-K,FND-106,SELL,216.6869,2026-08-10T16:40:28Z
T500601,2026-08-10,ACC-1029,CR-499954-J,FND-101,SELL,12.3766,2026-08-10T18:49:02Z
T500607,2026-08-10,ACC-1013,CR-239949-H,FND-104,BUY,109.7382,2026-08-10T15:16:04Z
T500609,2026-08-10,ACC-1008,CR-897247-G,FND-101,BUY,229.3485,2026-08-10T13:59:11Z
T500612,2026-08-10,ACC-1003,CR-952930-B,FND-103,BUY,46.7942,2026-08-10T17:45:14Z
T500618,2026-08-10,ACC-1031,CR-414702-G,FND-109,BUY,43.6034,2026-08-10T15:17:51Z
T500620,2026-08-10,ACC-1015,CR-668840-D,FND-106,BUY,256.7179,2026-08-10T13:20:25Z
T500623,2026-08-10,ACC-1034,CR-420805-E,FND-104,BUY,30.4507,2026-08-10T19:05:44Z
T500629,2026-08-10,ACC-1037,CR-894798-D,FND-106,BUY,228.5666,2026-08-10T13:53:57Z
T500634,2026-08-10,ACC-1026,CR-566361-F,FND-109,SELL,6.5808,2026-08-10T16:43:04Z
T500641,2026-08-10,ACC-1003,CR-952930-B,FND-101,BUY,53.6980,2026-08-10T20:38:15Z
T500647,2026-08-10,ACC-1015,CR-668840-D,FND-106,BUY,11.3658,2026-08-10T13:02:06Z
T500654,2026-08-10,ACC-1016,CR-994125-A,FND-108,SELL,106.6923,2026-08-10T18:27:28Z
T500655,2026-08-10,ACC-1014,CR-413459-F,FND-101,BUY,177.6756,2026-08-10T17:48:53Z
T500660,2026-08-10,ACC-1030,CR-910870-D,FND-105,SELL,15.3540,2026-08-10T18:26:02Z
T500661,2026-08-10,ACC-1012,CR-131183-C,FND-101,BUY,204.8656,2026-08-10T21:20:43Z
T500666,2026-08-10,ACC-1028,CR-130212-A,FND-104,BUY,297.7469,2026-08-10T15:52:55Z
T500670,2026-08-10,ACC-1032,CR-613628-C,FND-107,SELL,59.3509,2026-08-10T13:39:55Z
T500672,2026-08-10,ACC-1038,CR-762956-G,FND-106,BUY,68.1333,2026-08-10T13:07:45Z
