txn_id,batch_date,account_id,client_ref,fund_code,txn_type,units,trade_ts
T501282,2026-08-19,ACC-1001,CR-443898-D,FND-103,BUY,164.2190,2026-08-19T17:23:16Z
T501286,2026-08-19,ACC-1017,CR-261758-G,FND-103,SELL,235.3893,2026-08-19T18:04:11Z
T501287,2026-08-19,ACC-1021,CR-478599-B,FND-103,SELL,226.9797,2026-08-19T13:42:45Z
T501293,2026-08-19,ACC-1011,CR-136745-E,FND-102,BUY,177.9664,2026-08-19T13:42:20Z
T501298,2026-08-19,ACC-1016,CR-994125-A,FND-109,BUY,90.9549,2026-08-19T13:40:43Z
T501300,2026-08-19,ACC-1036,CR-353521-J,FND-106,BUY,53.9795,2026-08-19T14:43:42Z
T501303,2026-08-19,ACC-1016,CR-994125-A,FND-107,BUY,270.0934,2026-08-19T21:17:22Z
T501306,2026-08-19,ACC-1024,CR-227554-G,FND-109,BUY,224.2336,2026-08-19T13:10:29Z
T501312,2026-08-19,ACC-1015,CR-668840-D,FND-106,BUY,294.8222,2026-08-19T13:06:30Z
T501313,2026-08-19,ACC-1005,CR-964011-B,FND-106,BUY,282.6551,2026-08-19T15:27:14Z
T501317,2026-08-19,ACC-1036,CR-353521-J,FND-106,BUY,277.3609,2026-08-19T16:57:54Z
T501320,2026-08-19,ACC-1038,CR-762956-G,FND-108,SELL,21.6962,2026-08-19T14:52:15Z
T501321,2026-08-19,ACC-1020,CR-788569-K,FND-102,SELL,31.1255,2026-08-19T21:23:28Z
T501322,2026-08-19,ACC-1039,CR-218347-C,FND-106,BUY,93.6155,2026-08-19T21:19:49Z
T501326,2026-08-19,ACC-1040,CR-593506-B,FND-105,BUY,282.0534,2026-08-19T19:34:20Z
T501327,2026-08-19,ACC-1015,CR-668840-D,FND-109,BUY,121.2787,2026-08-19T18:28:02Z
T501332,2026-08-19,ACC-1021,CR-478599-B,FND-109,SELL,42.8432,2026-08-19T20:01:14Z
T501333,2026-08-19,ACC-1024,CR-227554-G,FND-102,BUY,283.5278,2026-08-19T16:42:05Z
T501339,2026-08-19,ACC-1034,CR-420805-E,FND-108,SELL,8.7081,2026-08-19T18:08:33Z
T501344,2026-08-19,ACC-1026,CR-566361-F,FND-108,SELL,295.7189,2026-08-19T21:57:46Z
T501348,2026-08-19,ACC-1016,CR-994125-A,FND-104,SELL,70.5598,2026-08-19T15:56:34Z
T501353,2026-08-19,ACC-1001,CR-443898-D,FND-104,BUY,167.8978,2026-08-19T14:43:40Z
T501360,2026-08-19,ACC-1028,CR-130212-A,FND-102,SELL,98.1493,2026-08-19T15:17:47Z
T501361,2026-08-19,ACC-1039,CR-218347-C,FND-103,SELL,19.7387,2026-08-19T20:08:17Z
T501365,2026-08-19,ACC-1025,CR-248506-E,FND-103,BUY,261.9061,2026-08-19T16:40:20Z
T501368,2026-08-19,ACC-1010,CR-943043-B,FND-105,BUY,250.9396,2026-08-19T13:50:11Z
