txn_id,batch_date,account_id,client_ref,fund_code,txn_type,units,trade_ts
T500221,2026-08-05,ACC-1020,CR-788569-K,FND-106,SELL,57.9061,2026-08-05T20:14:09Z
T500222,2026-08-05,ACC-1022,CR-996587-K,FND-103,BUY,193.9906,2026-08-05T18:05:16Z
T500229,2026-08-05,ACC-1005,CR-964011-B,FND-109,BUY,87.1549,2026-08-05T16:16:06Z
T500233,2026-08-05,ACC-1017,CR-261758-G,FND-105,BUY,248.6099,2026-08-05T14:25:13Z
T500237,2026-08-05,ACC-1012,CR-131183-C,FND-103,BUY,160.1974,2026-08-05T19:05:07Z
T500242,2026-08-05,ACC-1030,CR-910870-D,FND-102,BUY,143.9798,2026-08-05T18:40:43Z
T500245,2026-08-05,ACC-1020,CR-788569-K,FND-102,BUY,239.1660,2026-08-05T15:56:34Z
T500249,2026-08-05,ACC-1021,CR-478599-B,FND-103,BUY,209.8518,2026-08-05T13:38:48Z
T500255,2026-08-05,ACC-1007,CR-490152-D,FND-101,SELL,238.3434,2026-08-05T21:58:12Z
T500256,2026-08-05,ACC-1002,CR-818622-G,FND-108,SELL,323.3838,2026-08-05T16:14:49Z
T500260,2026-08-05,ACC-1006,CR-595853-C,FND-104,SELL,8.9679,2026-08-05T20:21:24Z
T500263,2026-08-05,ACC-1040,CR-593506-B,FND-101,BUY,79.3156,2026-08-05T14:11:41Z
T500269,2026-08-05,ACC-1024,CR-227554-G,FND-106,BUY,33.3581,2026-08-05T18:20:18Z
T500271,2026-08-05,ACC-1028,CR-130212-A,FND-104,SELL,356.8374,2026-08-05T17:44:15Z
T500272,2026-08-05,ACC-1024,CR-227554-G,FND-106,BUY,23.1118,2026-08-05T17:55:14Z
T500274,2026-08-05,ACC-1039,CR-218347-C,FND-103,SELL,50.1504,2026-08-05T21:28:56Z
T500280,2026-08-05,ACC-1018,CR-681846-G,FND-103,SELL,166.3657,2026-08-05T13:52:41Z
T500287,2026-08-05,ACC-1020,CR-788569-K,FND-104,SELL,430.3227,2026-08-05T18:21:05Z
T500293,2026-08-05,ACC-1029,CR-499954-J,FND-101,BUY,168.5712,2026-08-05T17:58:39Z
T500296,2026-08-05,ACC-1035,CR-848470-F,FND-101,SELL,113.2156,2026-08-05T13:27:15Z
T500297,2026-08-05,ACC-1003,CR-952930-B,FND-104,BUY,29.7436,2026-08-05T15:06:15Z
T500304,2026-08-05,ACC-1002,CR-818622-G,FND-101,BUY,136.5941,2026-08-05T20:52:07Z
T500305,2026-08-05,ACC-1027,CR-866359-C,FND-102,SELL,681.3619,2026-08-05T17:14:46Z
T500310,2026-08-05,ACC-1005,CR-964011-B,FND-106,SELL,149.1125,2026-08-05T13:27:46Z
T500317,2026-08-05,ACC-1032,CR-613628-C,FND-104,SELL,597.1446,2026-08-05T18:58:39Z
T500321,2026-08-05,ACC-1029,CR-499954-J,FND-106,BUY,204.2257,2026-08-05T13:48:00Z
T500324,2026-08-05,ACC-1032,CR-613628-C,FND-107,BUY,94.9721,2026-08-05T21:09:49Z
