txn_id,batch_date,account_id,client_ref,fund_code,txn_type,units,trade_ts
T502191,2026-08-31,ACC-1002,CR-818622-G,FND-106,BUY,192.1171,2026-08-31T21:55:15Z
T502194,2026-08-31,ACC-1033,CR-884054-A,FND-109,BUY,182.9302,2026-08-31T20:58:39Z
T502200,2026-08-31,ACC-1008,CR-897247-G,FND-105,BUY,122.2230,2026-08-31T20:48:23Z
T502201,2026-08-31,ACC-1022,CR-996587-K,FND-107,BUY,234.4604,2026-08-31T17:02:22Z
T502207,2026-08-31,ACC-1019,CR-572467-J,FND-109,BUY,285.7058,2026-08-31T21:38:46Z
T502210,2026-08-31,ACC-1012,CR-131183-C,FND-106,BUY,89.8816,2026-08-31T16:22:50Z
T502214,2026-08-31,ACC-1024,CR-227554-G,FND-109,BUY,164.3777,2026-08-31T20:40:56Z
T502218,2026-08-31,ACC-1005,CR-964011-B,FND-104,BUY,209.2042,2026-08-31T20:28:44Z
T502220,2026-08-31,ACC-1030,CR-910870-D,FND-103,SELL,515.2696,2026-08-31T17:32:27Z
T502227,2026-08-31,ACC-1033,CR-884054-A,FND-108,SELL,28.1138,2026-08-31T20:09:16Z
T502234,2026-08-31,ACC-1040,CR-593506-B,FND-106,BUY,215.0016,2026-08-31T18:08:38Z
T502239,2026-08-31,ACC-1036,CR-353521-J,FND-107,SELL,80.6084,2026-08-31T15:37:20Z
T502246,2026-08-31,ACC-1001,CR-443898-D,FND-102,BUY,55.7790,2026-08-31T19:29:35Z
T502248,2026-08-31,ACC-1005,CR-964011-B,FND-102,SELL,87.5368,2026-08-31T15:26:10Z
T502255,2026-08-31,ACC-1008,CR-897247-G,FND-101,SELL,66.5991,2026-08-31T17:35:49Z
T502261,2026-08-31,ACC-1012,CR-131183-C,FND-103,BUY,201.9952,2026-08-31T21:59:52Z
T502267,2026-08-31,ACC-1040,CR-593506-B,FND-107,SELL,571.9539,2026-08-31T19:58:20Z
T502273,2026-08-31,ACC-1003,CR-952930-B,FND-105,BUY,15.6687,2026-08-31T19:42:34Z
T502277,2026-08-31,ACC-1013,CR-239949-H,FND-105,SELL,12.1086,2026-08-31T21:15:22Z
T502279,2026-08-31,ACC-1013,CR-239949-H,FND-106,SELL,421.4235,2026-08-31T13:33:48Z
T502284,2026-08-31,ACC-1016,CR-994125-A,FND-101,BUY,297.2916,2026-08-31T20:26:33Z
T502286,2026-08-31,ACC-1011,CR-136745-E,FND-106,BUY,37.2006,2026-08-31T14:04:20Z
T502290,2026-08-31,ACC-1027,CR-866359-C,FND-101,BUY,232.7267,2026-08-31T18:23:58Z
T502297,2026-08-31,ACC-1035,CR-848470-F,FND-104,BUY,256.4735,2026-08-31T18:04:02Z
T502304,2026-08-31,ACC-1012,CR-131183-C,FND-107,BUY,256.7493,2026-08-31T21:22:49Z
T502308,2026-08-31,ACC-1016,CR-994125-A,FND-101,BUY,191.6412,2026-08-31T14:19:28Z
T502310,2026-08-31,ACC-1027,CR-866359-C,FND-102,SELL,271.5455,2026-08-31T19:10:21Z
T502311,2026-08-31,ACC-1020,CR-788569-K,FND-101,BUY,246.4710,2026-08-31T19:16:01Z
T502314,2026-08-31,ACC-1023,CR-606871-D,FND-105,BUY,94.0972,2026-08-31T20:30:09Z
T502317,2026-08-31,ACC-1023,CR-606871-D,FND-104,SELL,6.4020,2026-08-31T15:23:52Z
T502321,2026-08-31,ACC-1029,CR-499954-J,FND-102,BUY,68.0103,2026-08-31T17:07:05Z
T502322,2026-08-31,ACC-1028,CR-130212-A,FND-102,SELL,87.5009,2026-08-31T15:39:48Z
