txn_id,batch_date,account_id,client_ref,fund_code,txn_type,units,trade_ts
T501369,2026-08-20,ACC-1009,CR-389776-C,FND-106,SELL,40.2173,2026-08-20T13:44:46Z
T501371,2026-08-20,ACC-1010,CR-943043-B,FND-103,SELL,464.4158,2026-08-20T20:19:02Z
T501377,2026-08-20,ACC-1016,CR-994125-A,FND-108,BUY,95.9206,2026-08-20T16:23:47Z
T501384,2026-08-20,ACC-1011,CR-136745-E,FND-107,BUY,64.7718,2026-08-20T14:27:54Z
T501389,2026-08-20,ACC-1025,CR-248506-E,FND-108,SELL,104.9603,2026-08-20T14:56:26Z
T501390,2026-08-20,ACC-1029,CR-499954-J,FND-108,BUY,123.3383,2026-08-20T15:51:50Z
T501392,2026-08-20,ACC-1016,CR-994125-A,FND-107,BUY,107.3161,2026-08-20T17:20:31Z
T501396,2026-08-20,ACC-1025,CR-248506-E,FND-109,SELL,19.1940,2026-08-20T19:33:35Z
T501403,2026-08-20,ACC-1038,CR-762956-G,FND-102,BUY,129.3820,2026-08-20T21:12:29Z
T501410,2026-08-20,ACC-1011,CR-136745-E,FND-108,SELL,932.3860,2026-08-20T17:25:54Z
T501411,2026-08-20,ACC-1035,CR-848470-F,FND-103,BUY,262.9054,2026-08-20T20:27:37Z
T501415,2026-08-20,ACC-1001,CR-443898-D,FND-107,BUY,76.5281,2026-08-20T13:39:02Z
T501420,2026-08-20,ACC-1037,CR-894798-D,FND-108,BUY,7.2249,2026-08-20T19:27:50Z
T501421,2026-08-20,ACC-1014,CR-413459-F,FND-101,BUY,51.3266,2026-08-20T15:59:11Z
T501422,2026-08-20,ACC-1023,CR-606871-D,FND-104,SELL,18.2338,2026-08-20T13:45:46Z
T501427,2026-08-20,ACC-1023,CR-606871-D,FND-101,SELL,254.5398,2026-08-20T17:57:37Z
T501433,2026-08-20,ACC-1038,CR-762956-G,FND-106,SELL,9.6023,2026-08-20T19:11:40Z
T501436,2026-08-20,ACC-1014,CR-413459-F,FND-108,BUY,168.7594,2026-08-20T16:31:31Z
T501438,2026-08-20,ACC-1008,CR-897247-G,FND-105,BUY,9.9996,2026-08-20T15:01:29Z
T501445,2026-08-20,ACC-1007,CR-490152-D,FND-103,BUY,102.5560,2026-08-20T16:58:57Z
T501449,2026-08-20,ACC-1040,CR-593506-B,FND-103,SELL,455.9995,2026-08-20T13:54:25Z
T501455,2026-08-20,ACC-1027,CR-866359-C,FND-108,BUY,79.8631,2026-08-20T20:29:40Z
T501456,2026-08-20,ACC-1022,CR-996587-K,FND-101,SELL,253.3654,2026-08-20T13:02:22Z
T501462,2026-08-20,ACC-1018,CR-681846-G,FND-106,BUY,129.9148,2026-08-20T18:37:12Z
T501467,2026-08-20,ACC-1001,CR-443898-D,FND-103,BUY,258.9399,2026-08-20T20:47:45Z
T501473,2026-08-20,ACC-1022,CR-996587-K,FND-102,BUY,42.4817,2026-08-20T19:00:07Z
T501479,2026-08-20,ACC-1035,CR-848470-F,FND-106,BUY,271.0856,2026-08-20T19:47:22Z
T501480,2026-08-20,ACC-1025,CR-248506-E,FND-109,BUY,196.2250,2026-08-20T17:33:25Z
