txn_id,batch_date,account_id,client_ref,fund_code,txn_type,units,trade_ts
T500433,2026-08-07,ACC-1013,CR-239949-H,FND-108,SELL,663.4909,2026-08-07T16:50:44Z
T500439,2026-08-07,ACC-1009,CR-389776-C,FND-102,BUY,65.8171,2026-08-07T20:46:30Z
T500441,2026-08-07,ACC-1018,CR-681846-G,FND-104,BUY,276.7288,2026-08-07T16:01:47Z
T500443,2026-08-07,ACC-1021,CR-478599-B,FND-101,BUY,279.0730,2026-08-07T19:30:04Z
T500446,2026-08-07,ACC-1032,CR-613628-C,FND-101,BUY,192.6658,2026-08-07T19:20:55Z
T500448,2026-08-07,ACC-1014,CR-413459-F,FND-106,BUY,89.1053,2026-08-07T16:08:52Z
T500452,2026-08-07,ACC-1032,CR-613628-C,FND-109,SELL,202.1566,2026-08-07T18:46:21Z
T500456,2026-08-07,ACC-1028,CR-130212-A,FND-103,BUY,261.2565,2026-08-07T21:34:05Z
T500463,2026-08-07,ACC-1026,CR-566361-F,FND-105,BUY,23.6379,2026-08-07T19:53:34Z
T500468,2026-08-07,ACC-1013,CR-239949-H,FND-103,BUY,180.2178,2026-08-07T15:14:48Z
T500473,2026-08-07,ACC-1028,CR-130212-A,FND-103,SELL,225.3845,2026-08-07T19:54:49Z
T500480,2026-08-07,ACC-1031,CR-414702-G,FND-103,BUY,140.3763,2026-08-07T19:22:22Z
T500484,2026-08-07,ACC-1008,CR-897247-G,FND-101,SELL,122.8838,2026-08-07T20:08:26Z
T500491,2026-08-07,ACC-1032,CR-613628-C,FND-102,BUY,169.0071,2026-08-07T19:38:30Z
T500496,2026-08-07,ACC-1009,CR-389776-C,FND-104,SELL,59.3781,2026-08-07T19:15:59Z
T500499,2026-08-07,ACC-1031,CR-414702-G,FND-105,BUY,196.5881,2026-08-07T20:18:46Z
T500505,2026-08-07,ACC-1030,CR-910870-D,FND-106,SELL,433.2895,2026-08-07T16:38:17Z
T500510,2026-08-07,ACC-1002,CR-818622-G,FND-102,BUY,223.3734,2026-08-07T17:16:42Z
T500514,2026-08-07,ACC-1018,CR-681846-G,FND-108,BUY,226.3989,2026-08-07T21:46:48Z
T500515,2026-08-07,ACC-1038,CR-762956-G,FND-105,BUY,235.0044,2026-08-07T16:46:43Z
T500517,2026-08-07,ACC-1017,CR-261758-G,FND-108,BUY,281.2581,2026-08-07T20:31:01Z
T500520,2026-08-07,ACC-1040,CR-593506-B,FND-101,SELL,104.3443,2026-08-07T19:12:49Z
T500525,2026-08-07,ACC-1033,CR-884054-A,FND-108,BUY,18.8865,2026-08-07T17:20:19Z
T500529,2026-08-07,ACC-1007,CR-490152-D,FND-108,BUY,107.0679,2026-08-07T20:05:38Z
T500531,2026-08-07,ACC-1012,CR-131183-C,FND-105,BUY,139.2356,2026-08-07T19:26:16Z
T500534,2026-08-07,ACC-1032,CR-613628-C,FND-107,BUY,150.0235,2026-08-07T15:37:52Z
T500537,2026-08-07,ACC-1036,CR-353521-J,FND-103,SELL,645.7970,2026-08-07T13:54:05Z
T500540,2026-08-07,ACC-1039,CR-218347-C,FND-106,BUY,293.4274,2026-08-07T16:49:55Z
T500543,2026-08-07,ACC-1036,CR-353521-J,FND-102,BUY,218.1489,2026-08-07T20:30:36Z
T500549,2026-08-07,ACC-1011,CR-136745-E,FND-102,SELL,54.7862,2026-08-07T20:34:30Z
T500553,2026-08-07,ACC-1018,CR-681846-G,FND-104,BUY,270.5850,2026-08-07T19:14:26Z
T500558,2026-08-07,ACC-1019,CR-572467-J,FND-105,BUY,210.8086,2026-08-07T21:05:45Z
