txn_id,batch_date,account_id,client_ref,fund_code,txn_type,units,trade_ts
T500330,2026-08-06,ACC-1027,CR-866359-C,FND-102,SELL,385.2815,2026-08-06T13:07:53Z
T500331,2026-08-06,ACC-1026,CR-566361-F,FND-104,BUY,143.7381,2026-08-06T19:51:04Z
T500335,2026-08-06,ACC-1028,CR-130212-A,FND-102,BUY,167.5212,2026-08-06T15:04:26Z
T500337,2026-08-06,ACC-1006,CR-595853-C,FND-103,SELL,419.8263,2026-08-06T17:32:59Z
T500343,2026-08-06,ACC-1005,CR-964011-B,FND-107,BUY,248.7003,2026-08-06T17:52:45Z
T500349,2026-08-06,ACC-1016,CR-994125-A,FND-107,BUY,109.0086,2026-08-06T20:55:21Z
T500350,2026-08-06,ACC-1015,CR-668840-D,FND-103,SELL,86.5512,2026-08-06T15:43:50Z
T500356,2026-08-06,ACC-1013,CR-239949-H,FND-108,SELL,139.2150,2026-08-06T14:23:47Z
T500357,2026-08-06,ACC-1005,CR-964011-B,FND-101,BUY,49.1052,2026-08-06T16:03:31Z
T500359,2026-08-06,ACC-1040,CR-593506-B,FND-103,BUY,198.9475,2026-08-06T16:45:31Z
T500365,2026-08-06,ACC-1025,CR-248506-E,FND-105,BUY,287.2339,2026-08-06T16:20:22Z
T500369,2026-08-06,ACC-1023,CR-606871-D,FND-109,SELL,17.4083,2026-08-06T19:20:03Z
T500376,2026-08-06,ACC-1008,CR-897247-G,FND-101,SELL,248.6393,2026-08-06T21:21:43Z
T500379,2026-08-06,ACC-1003,CR-952930-B,FND-102,BUY,156.0978,2026-08-06T20:29:08Z
T500381,2026-08-06,ACC-1037,CR-894798-D,FND-101,SELL,167.7962,2026-08-06T15:36:09Z
T500387,2026-08-06,ACC-1004,CR-394617-B,FND-106,BUY,21.8900,2026-08-06T16:21:33Z
T500391,2026-08-06,ACC-1036,CR-353521-J,FND-104,BUY,235.0217,2026-08-06T18:49:51Z
T500398,2026-08-06,ACC-1015,CR-668840-D,FND-103,SELL,54.0352,2026-08-06T16:04:13Z
T500404,2026-08-06,ACC-1032,CR-613628-C,FND-101,BUY,239.8798,2026-08-06T21:09:53Z
T500408,2026-08-06,ACC-1034,CR-420805-E,FND-103,BUY,13.8104,2026-08-06T15:52:56Z
T500410,2026-08-06,ACC-1024,CR-227554-G,FND-101,SELL,197.2605,2026-08-06T21:35:03Z
T500412,2026-08-06,ACC-1031,CR-414702-G,FND-103,BUY,7.9154,2026-08-06T18:52:47Z
T500413,2026-08-06,ACC-1022,CR-996587-K,FND-107,BUY,12.9220,2026-08-06T15:41:49Z
T500420,2026-08-06,ACC-1028,CR-130212-A,FND-107,BUY,17.5262,2026-08-06T15:01:53Z
T500426,2026-08-06,ACC-1036,CR-353521-J,FND-104,BUY,53.3910,2026-08-06T14:35:42Z
