txn_id,batch_date,account_id,client_ref,fund_code,txn_type,units,trade_ts
T501929,2026-08-27,ACC-1024,CR-227554-G,FND-108,BUY,11.5218,2026-08-27T14:13:40Z
T501930,2026-08-27,ACC-1026,CR-566361-F,FND-103,BUY,297.7438,2026-08-27T13:14:11Z
T501933,2026-08-27,ACC-1038,CR-762956-G,FND-103,BUY,284.8033,2026-08-27T20:25:12Z
T501936,2026-08-27,ACC-1015,CR-668840-D,FND-109,SELL,61.8809,2026-08-27T19:12:20Z
T501942,2026-08-27,ACC-1008,CR-897247-G,FND-105,BUY,17.2064,2026-08-27T15:06:34Z
T501946,2026-08-27,ACC-1016,CR-994125-A,FND-109,BUY,244.9933,2026-08-27T17:52:28Z
T501952,2026-08-27,ACC-1021,CR-478599-B,FND-109,BUY,170.8838,2026-08-27T16:56:31Z
T501956,2026-08-27,ACC-1034,CR-420805-E,FND-106,BUY,94.1103,2026-08-27T18:04:01Z
T501957,2026-08-27,ACC-1027,CR-866359-C,FND-107,BUY,195.4064,2026-08-27T14:31:14Z
T501962,2026-08-27,ACC-1015,CR-668840-D,FND-105,BUY,47.5899,2026-08-27T16:44:17Z
T501966,2026-08-27,ACC-1023,CR-606871-D,FND-103,BUY,143.6722,2026-08-27T20:35:24Z
T501971,2026-08-27,ACC-1025,CR-248506-E,FND-109,BUY,290.0144,2026-08-27T17:37:39Z
T501978,2026-08-27,ACC-1036,CR-353521-J,FND-103,BUY,62.8823,2026-08-27T16:14:14Z
T501985,2026-08-27,ACC-1005,CR-964011-B,FND-102,BUY,91.1636,2026-08-27T14:27:38Z
T501987,2026-08-27,ACC-1037,CR-894798-D,FND-101,BUY,138.8227,2026-08-27T20:28:18Z
T501993,2026-08-27,ACC-1019,CR-572467-J,FND-102,BUY,50.5492,2026-08-27T13:14:11Z
T501995,2026-08-27,ACC-1015,CR-668840-D,FND-102,BUY,111.3634,2026-08-27T19:57:57Z
T502000,2026-08-27,ACC-1022,CR-996587-K,FND-104,BUY,30.6544,2026-08-27T13:58:46Z
T502002,2026-08-27,ACC-1021,CR-478599-B,FND-103,SELL,339.8774,2026-08-27T17:41:58Z
T502008,2026-08-27,ACC-1004,CR-394617-B,FND-101,SELL,26.2134,2026-08-27T18:37:36Z
T502015,2026-08-27,ACC-1015,CR-668840-D,FND-105,SELL,8.7500,2026-08-27T20:09:57Z
T502022,2026-08-27,ACC-1014,CR-413459-F,FND-105,SELL,534.9624,2026-08-27T21:52:32Z
T502028,2026-08-27,ACC-1008,CR-897247-G,FND-109,BUY,237.0681,2026-08-27T14:45:41Z
T502034,2026-08-27,ACC-1017,CR-261758-G,FND-105,BUY,209.0134,2026-08-27T19:23:28Z
T502041,2026-08-27,ACC-1031,CR-414702-G,FND-105,SELL,23.7395,2026-08-27T18:32:19Z
T502047,2026-08-27,ACC-1040,CR-593506-B,FND-107,BUY,199.1099,2026-08-27T17:27:51Z
T502051,2026-08-27,ACC-1016,CR-994125-A,FND-103,BUY,92.7327,2026-08-27T19:47:01Z
