txn_id,batch_date,account_id,client_ref,fund_code,txn_type,units,trade_ts
T501482,2026-08-21,ACC-1004,CR-394617-B,FND-105,BUY,194.9399,2026-08-21T13:46:39Z
T501488,2026-08-21,ACC-1023,CR-606871-D,FND-105,BUY,241.8683,2026-08-21T13:41:55Z
T501491,2026-08-21,ACC-1037,CR-894798-D,FND-108,SELL,1.8235,2026-08-21T14:50:13Z
T501492,2026-08-21,ACC-1029,CR-499954-J,FND-107,BUY,163.3480,2026-08-21T15:06:38Z
T501494,2026-08-21,ACC-1032,CR-613628-C,FND-107,SELL,13.5186,2026-08-21T17:41:17Z
T501501,2026-08-21,ACC-1020,CR-788569-K,FND-104,BUY,193.6350,2026-08-21T17:13:00Z
T501503,2026-08-21,ACC-1006,CR-595853-C,FND-104,BUY,91.8727,2026-08-21T15:30:51Z
T501509,2026-08-21,ACC-1011,CR-136745-E,FND-102,BUY,145.7528,2026-08-21T16:00:20Z
T501512,2026-08-21,ACC-1011,CR-136745-E,FND-106,BUY,186.4025,2026-08-21T13:17:10Z
T501518,2026-08-21,ACC-1028,CR-130212-A,FND-106,SELL,602.6071,2026-08-21T19:29:57Z
T501520,2026-08-21,ACC-1036,CR-353521-J,FND-107,BUY,267.3233,2026-08-21T13:16:07Z
T501525,2026-08-21,ACC-1020,CR-788569-K,FND-106,BUY,59.0875,2026-08-21T13:57:50Z
T501529,2026-08-21,ACC-1031,CR-414702-G,FND-105,BUY,105.8879,2026-08-21T18:29:51Z
T501530,2026-08-21,ACC-1026,CR-566361-F,FND-106,BUY,52.1840,2026-08-21T16:10:06Z
T501537,2026-08-21,ACC-1034,CR-420805-E,FND-109,BUY,187.1040,2026-08-21T13:18:53Z
T501541,2026-08-21,ACC-1016,CR-994125-A,FND-106,SELL,230.9449,2026-08-21T13:17:07Z
T501542,2026-08-21,ACC-1020,CR-788569-K,FND-101,SELL,167.6581,2026-08-21T16:24:05Z
T501544,2026-08-21,ACC-1035,CR-848470-F,FND-107,SELL,601.0723,2026-08-21T17:38:02Z
T501546,2026-08-21,ACC-1002,CR-818622-G,FND-101,SELL,887.5901,2026-08-21T13:13:18Z
T501548,2026-08-21,ACC-1037,CR-894798-D,FND-105,BUY,267.3625,2026-08-21T15:14:43Z
T501555,2026-08-21,ACC-1029,CR-499954-J,FND-105,BUY,82.7847,2026-08-21T14:09:37Z
T501560,2026-08-21,ACC-1033,CR-884054-A,FND-108,BUY,64.0700,2026-08-21T14:39:15Z
T501567,2026-08-21,ACC-1026,CR-566361-F,FND-101,BUY,86.2902,2026-08-21T21:52:12Z
T501573,2026-08-21,ACC-1011,CR-136745-E,FND-103,SELL,47.7125,2026-08-21T16:26:45Z
T501578,2026-08-21,ACC-1038,CR-762956-G,FND-102,SELL,51.3837,2026-08-21T15:27:12Z
T501580,2026-08-21,ACC-1038,CR-762956-G,FND-107,BUY,68.7900,2026-08-21T17:11:50Z
T501587,2026-08-21,ACC-1009,CR-389776-C,FND-108,BUY,56.9389,2026-08-21T14:48:36Z
T501588,2026-08-21,ACC-1026,CR-566361-F,FND-105,BUY,269.8733,2026-08-21T21:52:18Z
T501593,2026-08-21,ACC-1026,CR-566361-F,FND-101,BUY,219.5899,2026-08-21T18:43:23Z
T501600,2026-08-21,ACC-1034,CR-420805-E,FND-109,SELL,21.5419,2026-08-21T20:03:22Z
T501602,2026-08-21,ACC-1010,CR-943043-B,FND-104,BUY,175.0904,2026-08-21T20:02:01Z
T501603,2026-08-21,ACC-1013,CR-239949-H,FND-105,SELL,18.1331,2026-08-21T21:02:45Z
T501604,2026-08-21,ACC-1022,CR-996587-K,FND-104,BUY,283.0129,2026-08-21T19:20:58Z
