txn_id,batch_date,account_id,client_ref,fund_code,txn_type,units,trade_ts
T500128,2026-08-04,ACC-1040,CR-593506-B,FND-101,BUY,294.8921,2026-08-04T13:22:32Z
T500134,2026-08-04,ACC-1026,CR-566361-F,FND-104,BUY,237.9012,2026-08-04T21:39:44Z
T500140,2026-08-04,ACC-1005,CR-964011-B,FND-108,BUY,205.1916,2026-08-04T21:01:58Z
T500143,2026-08-04,ACC-1016,CR-994125-A,FND-108,SELL,123.6175,2026-08-04T18:23:57Z
T500150,2026-08-04,ACC-1019,CR-572467-J,FND-105,SELL,440.9311,2026-08-04T14:52:11Z
T500151,2026-08-04,ACC-1031,CR-414702-G,FND-105,BUY,15.6358,2026-08-04T21:12:05Z
T500154,2026-08-04,ACC-1002,CR-818622-G,FND-101,BUY,117.3304,2026-08-04T14:09:16Z
T500156,2026-08-04,ACC-1021,CR-478599-B,FND-105,BUY,288.2471,2026-08-04T17:23:06Z
T500162,2026-08-04,ACC-1039,CR-218347-C,FND-102,BUY,155.9376,2026-08-04T17:20:37Z
T500163,2026-08-04,ACC-1016,CR-994125-A,FND-108,BUY,232.4096,2026-08-04T14:02:31Z
T500167,2026-08-04,ACC-1007,CR-490152-D,FND-102,BUY,82.4555,2026-08-04T21:07:19Z
T500170,2026-08-04,ACC-1024,CR-227554-G,FND-101,SELL,341.5813,2026-08-04T14:41:06Z
T500172,2026-08-04,ACC-1019,CR-572467-J,FND-104,BUY,236.8344,2026-08-04T13:46:56Z
T500173,2026-08-04,ACC-1022,CR-996587-K,FND-102,BUY,283.0106,2026-08-04T13:47:17Z
T500174,2026-08-04,ACC-1035,CR-848470-F,FND-106,BUY,55.0165,2026-08-04T16:45:19Z
T500176,2026-08-04,ACC-1009,CR-389776-C,FND-104,BUY,190.4316,2026-08-04T13:53:53Z
T500183,2026-08-04,ACC-1021,CR-478599-B,FND-105,SELL,24.8801,2026-08-04T14:28:51Z
T500186,2026-08-04,ACC-1011,CR-136745-E,FND-102,BUY,138.7271,2026-08-04T13:18:07Z
T500191,2026-08-04,ACC-1011,CR-136745-E,FND-109,BUY,84.9159,2026-08-04T16:07:16Z
T500192,2026-08-04,ACC-1002,CR-818622-G,FND-102,BUY,76.8783,2026-08-04T17:40:38Z
T500194,2026-08-04,ACC-1040,CR-593506-B,FND-104,SELL,161.4416,2026-08-04T17:29:11Z
T500200,2026-08-04,ACC-1028,CR-130212-A,FND-102,BUY,245.4773,2026-08-04T21:56:56Z
T500207,2026-08-04,ACC-1027,CR-866359-C,FND-107,BUY,297.8862,2026-08-04T17:44:45Z
T500212,2026-08-04,ACC-1005,CR-964011-B,FND-103,BUY,97.6994,2026-08-04T13:46:38Z
T500213,2026-08-04,ACC-1018,CR-681846-G,FND-103,SELL,106.8743,2026-08-04T15:04:25Z
T500219,2026-08-04,ACC-1015,CR-668840-D,FND-107,BUY,151.0071,2026-08-04T16:21:27Z
